id,name,parent
1315fbdb-7843-43f9-922e-3998613a2706,droneProductLineFeatureTree,
e13987ee-aeed-417b-96b9-ba910facf3c8,battery,1315fbdb-7843-43f9-922e-3998613a2706
21c69a9f-f8af-4328-94d9-96899a249bed,longDistanceBattery,e13987ee-aeed-417b-96b9-ba910facf3c8
73601361-b218-4445-aed0-983c4374d646,powerBattery,21c69a9f-f8af-4328-94d9-96899a249bed
9dd82d7c-c3c9-49d9-ab8a-948d5f03ea1e,xPowerBattery,21c69a9f-f8af-4328-94d9-96899a249bed
f57fd1b7-e634-4d25-8bff-7e6af28feef7,standardBattery,e13987ee-aeed-417b-96b9-ba910facf3c8
4b1b049b-a86b-4978-8196-705f11806c6f,numberOfEngines,1315fbdb-7843-43f9-922e-3998613a2706
6ad9689e-d46b-4eb3-90e9-d7f6411e4301,eightEngines,4b1b049b-a86b-4978-8196-705f11806c6f
d3461259-01bc-488d-bef2-7d8ced2920a4,sixEngines,4b1b049b-a86b-4978-8196-705f11806c6f
e527784c-61eb-4bc1-9486-6baa1af8b3e0,fourEngines,4b1b049b-a86b-4978-8196-705f11806c6f
06db6486-702f-4665-896f-e832ab1f08bb,numberOfCameras,1315fbdb-7843-43f9-922e-3998613a2706
48427479-4813-4932-8af0-5b30e652a40e,noCam,06db6486-702f-4665-896f-e832ab1f08bb
62eaa471-1bbc-4460-99c3-361a69c2d35e,twoCams,06db6486-702f-4665-896f-e832ab1f08bb
b01c3929-c995-429f-8fa9-7a45f0c317b2,oneCam,06db6486-702f-4665-896f-e832ab1f08bb
84a44d59-e9c6-4e0b-86f7-c7f0eb93739a,payload,1315fbdb-7843-43f9-922e-3998613a2706
c1b0469e-37af-4ed6-bee7-84510b44223a,chargingStrategy,1315fbdb-7843-43f9-922e-3998613a2706
c08e52bb-71ec-4968-96dc-8db56f4e92b9,standardCharging,c1b0469e-37af-4ed6-bee7-84510b44223a
372713f5-f9dc-4d9b-a633-343fe7261031,powerCharging,c1b0469e-37af-4ed6-bee7-84510b44223a
c33a293c-552b-45af-89a2-af2e8b1fb87c,flightStrategies,1315fbdb-7843-43f9-922e-3998613a2706
2f08294b-dbbd-4365-969b-8ec1a71451ff,cameraPatterns,c33a293c-552b-45af-89a2-af2e8b1fb87c
8165cae6-5bf8-4617-9b7b-0ba119c7f140,aerobaticPatterns,c33a293c-552b-45af-89a2-af2e8b1fb87c
9882f2a7-730b-44d9-a7b5-df1a937a260d,observationPatterns,c33a293c-552b-45af-89a2-af2e8b1fb87c
