id,name,isConfiguration,parent,selection1,selection_id1,selection2,selection_id2
9b059518-745f-4379-b02a-028682f9e930,deliveryDrone,True,,,,,
4b28bb31-c091-446a-8970-08209a9e9c1d,battery,False,9b059518-745f-4379-b02a-028682f9e930,xPowerBattery,9dd82d7c-c3c9-49d9-ab8a-948d5f03ea1e,,
3dbb130b-f700-47c1-b744-3a3e36f994e1,chargingStrategy,False,9b059518-745f-4379-b02a-028682f9e930,powerCharging,372713f5-f9dc-4d9b-a633-343fe7261031,,
53ac93f0-f676-4c41-a94f-0ebdeb9bdbc8,numberOfEngines,False,9b059518-745f-4379-b02a-028682f9e930,sixEngines,d3461259-01bc-488d-bef2-7d8ced2920a4,,
7cb9f4c0-15f4-4a5c-9125-740b6ccb0056,numberOfCameras,False,9b059518-745f-4379-b02a-028682f9e930,oneCam,b01c3929-c995-429f-8fa9-7a45f0c317b2,,
84b545a2-5431-4716-8f2f-73972d2d66ee,flightStrategies,False,9b059518-745f-4379-b02a-028682f9e930,cameraPatterns,2f08294b-dbbd-4365-969b-8ec1a71451ff,,
2de380c1-9b5d-4de8-88a1-d8a6823aeeb5,payload,False,9b059518-745f-4379-b02a-028682f9e930,,,,
18a3c02a-a1e5-45bb-a992-0d5d4bfbec35,consumerDrone,True,,,,,
ee1c4105-3ce2-47a2-8ed2-dcf4bd01e4b1,battery,False,18a3c02a-a1e5-45bb-a992-0d5d4bfbec35,standardBattery,f57fd1b7-e634-4d25-8bff-7e6af28feef7,,
1633f279-0dee-49c0-8a69-4c85287aebf9,chargingStrategy,False,18a3c02a-a1e5-45bb-a992-0d5d4bfbec35,standardCharging,c08e52bb-71ec-4968-96dc-8db56f4e92b9,,
df250c6b-5d07-4738-94c2-ed2eb57f9e29,numberOfEngines,False,18a3c02a-a1e5-45bb-a992-0d5d4bfbec35,fourEngines,e527784c-61eb-4bc1-9486-6baa1af8b3e0,,
5206688a-ce2f-40fa-8084-70ca63c1934c,numberOfCameras,False,18a3c02a-a1e5-45bb-a992-0d5d4bfbec35,oneCam,b01c3929-c995-429f-8fa9-7a45f0c317b2,,
175b2719-3391-410d-b731-150f7beea25a,flightStrategies,False,18a3c02a-a1e5-45bb-a992-0d5d4bfbec35,cameraPatterns,2f08294b-dbbd-4365-969b-8ec1a71451ff,,
6e2c7a1a-ae87-4d31-9bdc-6928d371b115,observationDrone,True,,,,,
3f214d2c-786b-4aea-84ab-67d27f7650ae,battery,False,6e2c7a1a-ae87-4d31-9bdc-6928d371b115,powerBattery,73601361-b218-4445-aed0-983c4374d646,,
e06ffade-a92b-4003-aa9d-320691e8163d,chargingStrategy,False,6e2c7a1a-ae87-4d31-9bdc-6928d371b115,powerCharging,372713f5-f9dc-4d9b-a633-343fe7261031,,
38a2fbae-81f2-4470-8a8a-36ba64347e11,numberOfEngines,False,6e2c7a1a-ae87-4d31-9bdc-6928d371b115,eightEngines,6ad9689e-d46b-4eb3-90e9-d7f6411e4301,,
18a4b724-a817-49d2-a5e3-4780b4eec142,numberOfCameras,False,6e2c7a1a-ae87-4d31-9bdc-6928d371b115,twoCams,62eaa471-1bbc-4460-99c3-361a69c2d35e,,
e33b30c0-0fcf-4493-bf25-c2af857f8c3e,flightStrategies,False,6e2c7a1a-ae87-4d31-9bdc-6928d371b115,observationPatterns,9882f2a7-730b-44d9-a7b5-df1a937a260d,cameraPatterns,2f08294b-dbbd-4365-969b-8ec1a71451ff
